"orderid","date","customerid","product","quantity","unitprice","shippingaddress","paymentmethod","orderstatus","trackingnumber","itemsincart","couponcode","referralsource","totalprice"
"ORD200076","2024-03-31","C58638","Laptop",4,382.88,"239 Main St","Cash","Cancelled","TRK38224871",6,"WINTER15","Email",1531.52
"ORD200083","2023-08-22","C15681","Laptop",4,540.41,"989 Main St","Credit Card","Cancelled","TRK75112172",6,"No Coupon","Referral",2161.64
"ORD200102","2023-03-08","C18037","Laptop",2,70.34,"944 Main St","Gift Card","Cancelled","TRK47362236",3,"FREESHIP","Email",140.68
"ORD200136","2024-04-27","C73370","Laptop",1,44.35,"595 Main St","Gift Card","Cancelled","TRK67820278",1,"SAVE10","Instagram",44.35
"ORD200147","2025-05-06","C46316","Laptop",2,465.18,"893 Main St","Credit Card","Cancelled","TRK16196000",2,"SAVE10","Google",930.36
"ORD200191","2025-03-08","C51494","Laptop",2,488.87,"505 Main St","Online","Cancelled","TRK58520306",4,"FREESHIP","Google",977.74
"ORD200198","2024-06-11","C37594","Laptop",4,340.30,"926 Main St","Cash","Cancelled","TRK94405162",8,"SAVE10","Referral",1361.20
"ORD200204","2023-09-05","C99775","Laptop",4,413.71,"478 Main St","Gift Card","Cancelled","TRK21638425",9,"FREESHIP","Facebook",1654.84
"ORD200213","2023-04-20","C71122","Laptop",1,634.40,"317 Main St","Cash","Cancelled","TRK54757882",6,"SAVE10","Email",634.40
"ORD200340","2023-04-23","C76207","Laptop",5,521.25,"826 Main St","Cash","Cancelled","TRK25569378",8,"No Coupon","Email",2606.25
"ORD200391","2025-01-16","C60037","Laptop",2,527.46,"516 Main St","Debit Card","Cancelled","TRK82009557",3,"FREESHIP","Referral",1054.92
"ORD200416","2023-07-18","C20881","Laptop",2,644.05,"652 Main St","Gift Card","Cancelled","TRK26263902",5,"WINTER15","Referral",1288.10
"ORD200417","2023-10-24","C44492","Laptop",5,55.41,"954 Main St","Online","Cancelled","TRK51429869",5,"No Coupon","Google",277.05
"ORD200454","2024-11-27","C54759","Laptop",1,109.29,"686 Main St","Debit Card","Cancelled","TRK75583042",5,"FREESHIP","Google",109.29
"ORD200606","2024-11-06","C85018","Laptop",3,274.75,"783 Main St","Cash","Cancelled","TRK54128886",3,"SAVE10","Google",824.25
"ORD200608","2024-07-24","C32956","Laptop",5,543.16,"788 Main St","Online","Cancelled","TRK73140103",6,"SAVE10","Instagram",2715.80
"ORD200633","2024-04-10","C79533","Laptop",5,601.72,"921 Main St","Gift Card","Cancelled","TRK54711422",5,"WINTER15","Instagram",3008.60
"ORD200636","2023-10-05","C60384","Laptop",4,371.07,"336 Main St","Cash","Cancelled","TRK92080037",7,"WINTER15","Facebook",1484.28
"ORD200643","2024-08-26","C77122","Laptop",1,438.37,"647 Main St","Cash","Cancelled","TRK75814880",4,"SAVE10","Referral",438.37
"ORD200645","2023-01-02","C82990","Laptop",2,150.05,"727 Main St","Credit Card","Cancelled","TRK68574801",4,"SAVE10","Facebook",300.10
"ORD200676","2025-06-23","C90431","Laptop",2,422.34,"985 Main St","Credit Card","Cancelled","TRK44151723",4,"FREESHIP","Instagram",844.68
"ORD200699","2023-11-13","C36813","Laptop",3,614.15,"897 Main St","Gift Card","Cancelled","TRK84088900",3,"No Coupon","Facebook",1842.45
"ORD200718","2023-04-08","C16790","Laptop",4,64.74,"718 Main St","Gift Card","Cancelled","TRK91791367",8,"SAVE10","Google",258.96
"ORD200764","2024-03-10","C35983","Laptop",5,627.43,"806 Main St","Credit Card","Cancelled","TRK14016163",10,"FREESHIP","Email",3137.15
"ORD200780","2024-03-31","C41284","Laptop",4,184.48,"661 Main St","Online","Cancelled","TRK73613128",4,"WINTER15","Google",737.92
"ORD200805","2024-10-15","C59278","Laptop",5,472.01,"178 Main St","Gift Card","Cancelled","TRK14590037",10,"SAVE10","Email",2360.05
"ORD200813","2025-03-15","C12813","Laptop",5,292.54,"263 Main St","Debit Card","Cancelled","TRK36131660",8,"FREESHIP","Email",1462.70
"ORD200851","2023-12-12","C80183","Laptop",1,365.57,"146 Main St","Online","Cancelled","TRK20814598",5,"SAVE10","Email",365.57
"ORD200965","2025-06-18","C70412","Laptop",4,578.28,"791 Main St","Gift Card","Cancelled","TRK22192783",5,"FREESHIP","Email",2313.12
"ORD201013","2025-04-26","C91123","Laptop",4,300.56,"842 Main St","Cash","Cancelled","TRK49568409",9,"FREESHIP","Facebook",1202.24
"ORD201035","2023-11-12","C70315","Laptop",4,506.11,"911 Main St","Cash","Cancelled","TRK97732085",5,"No Coupon","Referral",2024.44
"ORD201099","2024-09-19","C21953","Laptop",2,125.23,"272 Main St","Cash","Cancelled","TRK60774796",3,"FREESHIP","Email",250.46
"ORD201100","2023-08-17","C15146","Laptop",5,38.11,"428 Main St","Debit Card","Cancelled","TRK79790530",6,"WINTER15","Instagram",190.55
"ORD201108","2023-03-20","C35136","Laptop",1,634.94,"462 Main St","Online","Cancelled","TRK49753703",5,"WINTER15","Instagram",634.94
"ORD201179","2023-01-08","C84630","Laptop",5,518.55,"907 Main St","Credit Card","Cancelled","TRK48054997",6,"WINTER15","Instagram",2592.75
