"orderid","date","customerid","product","quantity","unitprice","shippingaddress","paymentmethod","orderstatus","trackingnumber","itemsincart","couponcode","referralsource","totalprice"
"ORD200001","2024-08-23","C75739","Phone",2,151.35,"823 Main St","Online","Shipped","TRK91186779",3,"SAVE10","Referral",302.70
"ORD200004","2025-05-08","C81840","Printer",4,626.01,"668 Main St","Online","Delivered","TRK29241424",8,"SAVE10","Email",2504.04
"ORD200007","2023-05-12","C41460","Monitor",5,149.55,"706 Main St","Cash","Shipped","TRK78809193",9,"FREESHIP","Facebook",747.75
"ORD200011","2024-02-17","C93861","Monitor",3,49.14,"831 Main St","Online","Returned","TRK48234646",7,"SAVE10","Email",147.42
"ORD200015","2023-07-17","C39416","Printer",1,473.96,"942 Main St","Cash","Delivered","TRK54930938",3,"No Coupon","Google",473.96
"ORD200019","2023-01-23","C14552","Monitor",5,224.00,"273 Main St","Cash","Returned","TRK59101365",9,"SAVE10","Google",1120.00
"ORD200020","2023-05-08","C54829","Chair",5,62.51,"587 Main St","Cash","Pending","TRK16718651",9,"WINTER15","Instagram",312.55
"ORD200021","2024-11-17","C99023","Monitor",4,342.95,"569 Main St","Cash","Delivered","TRK52646983",6,"No Coupon","Google",1371.80
"ORD200022","2023-01-29","C34416","Monitor",2,49.62,"633 Main St","Online","Pending","TRK75937350",2,"SAVE10","Google",99.24
"ORD200024","2024-10-30","C17470","Laptop",2,230.95,"956 Main St","Online","Delivered","TRK28775057",3,"WINTER15","Referral",461.90
"ORD200026","2024-03-06","C21944","Laptop",5,59.55,"296 Main St","Online","Delivered","TRK80276812",6,"No Coupon","Referral",297.75
"ORD200027","2024-02-22","C97593","Printer",1,472.74,"881 Main St","Online","Shipped","TRK89117573",6,"WINTER15","Google",472.74
"ORD200028","2023-11-21","C59823","Phone",4,160.07,"568 Main St","Online","Pending","TRK65895539",5,"No Coupon","Email",640.28
"ORD200030","2025-03-22","C44267","Monitor",2,426.70,"895 Main St","Online","Pending","TRK54751444",5,"SAVE10","Referral",853.40
"ORD200032","2023-05-01","C12388","Tablet",5,536.72,"830 Main St","Cash","Delivered","TRK99261395",10,"No Coupon","Email",2683.60
"ORD200033","2023-06-05","C52184","Chair",1,162.77,"912 Main St","Online","Cancelled","TRK73312471",4,"WINTER15","Facebook",162.77
"ORD200035","2024-12-07","C50304","Monitor",2,465.15,"128 Main St","Online","Shipped","TRK46850888",2,"SAVE10","Facebook",930.30
"ORD200037","2024-10-14","C10054","Laptop",2,76.74,"409 Main St","Cash","Returned","TRK94005261",7,"SAVE10","Instagram",153.48
"ORD200040","2023-08-20","C84766","Desk",2,344.02,"267 Main St","Online","Delivered","TRK78967923",4,"FREESHIP","Instagram",688.04
"ORD200042","2024-05-06","C28712","Printer",2,151.66,"980 Main St","Cash","Cancelled","TRK40772558",6,"No Coupon","Instagram",303.32
"ORD200043","2023-12-14","C60572","Chair",3,499.21,"871 Main St","Online","Cancelled","TRK20351666",8,"No Coupon","Instagram",1497.63
"ORD200050","2023-07-31","C96494","Tablet",1,179.22,"446 Main St","Online","Cancelled","TRK14675049",6,"FREESHIP","Instagram",179.22
"ORD200051","2024-12-30","C36778","Tablet",1,388.33,"434 Main St","Cash","Returned","TRK67610289",2,"SAVE10","Facebook",388.33
"ORD200052","2024-09-08","C30513","Tablet",1,586.44,"232 Main St","Online","Returned","TRK64320429",5,"SAVE10","Facebook",586.44
"ORD200053","2024-05-18","C67551","Phone",4,488.78,"512 Main St","Online","Returned","TRK94992552",5,"FREESHIP","Google",1955.12
"ORD200054","2025-03-27","C48120","Chair",1,280.25,"623 Main St","Online","Pending","TRK11014449",5,"WINTER15","Email",280.25
