"orderid","date","customerid","product","quantity","unitprice","shippingaddress","paymentmethod","orderstatus","trackingnumber","itemsincart","couponcode","referralsource","totalprice"
"ORD200004","2025-05-08","C81840","Printer",4,626.01,"668 Main St","Online","Delivered","TRK29241424",8,"SAVE10","Email",2504.04
"ORD200015","2023-07-17","C39416","Printer",1,473.96,"942 Main St","Cash","Delivered","TRK54930938",3,"No Coupon","Google",473.96
"ORD200021","2024-11-17","C99023","Monitor",4,342.95,"569 Main St","Cash","Delivered","TRK52646983",6,"No Coupon","Google",1371.80
"ORD200024","2024-10-30","C17470","Laptop",2,230.95,"956 Main St","Online","Delivered","TRK28775057",3,"WINTER15","Referral",461.90
"ORD200025","2024-07-24","C42577","Monitor",1,399.98,"709 Main St","Debit Card","Delivered","TRK69423327",3,"WINTER15","Email",399.98
"ORD200026","2024-03-06","C21944","Laptop",5,59.55,"296 Main St","Online","Delivered","TRK80276812",6,"No Coupon","Referral",297.75
"ORD200029","2024-09-20","C33260","Desk",3,423.53,"930 Main St","Credit Card","Delivered","TRK59744090",6,"SAVE10","Referral",1270.59
"ORD200032","2023-05-01","C12388","Tablet",5,536.72,"830 Main St","Cash","Delivered","TRK99261395",10,"No Coupon","Email",2683.60
"ORD200038","2024-12-19","C15924","Laptop",1,245.89,"549 Main St","Debit Card","Delivered","TRK14835975",3,"SAVE10","Google",245.89
"ORD200039","2025-02-27","C96664","Printer",3,256.46,"666 Main St","Credit Card","Delivered","TRK85508960",4,"SAVE10","Referral",769.38
"ORD200040","2023-08-20","C84766","Desk",2,344.02,"267 Main St","Online","Delivered","TRK78967923",4,"FREESHIP","Instagram",688.04
"ORD200061","2024-03-24","C61618","Desk",4,122.20,"104 Main St","Cash","Delivered","TRK43458485",7,"FREESHIP","Facebook",488.80
"ORD200065","2023-12-30","C97735","Monitor",5,81.70,"385 Main St","Credit Card","Delivered","TRK13743703",6,"No Coupon","Instagram",408.50
"ORD200075","2023-09-26","C80651","Tablet",3,398.17,"917 Main St","Debit Card","Delivered","TRK14846720",5,"SAVE10","Email",1194.51
"ORD200078","2024-08-06","C32029","Printer",4,175.36,"146 Main St","Debit Card","Delivered","TRK68535532",4,"FREESHIP","Instagram",701.44
"ORD200085","2024-09-09","C14553","Tablet",3,146.73,"768 Main St","Cash","Delivered","TRK93538334",8,"FREESHIP","Email",440.19
"ORD200090","2023-09-18","C36540","Chair",4,182.08,"611 Main St","Gift Card","Delivered","TRK35828122",4,"SAVE10","Email",728.32
"ORD200096","2024-06-01","C93007","Phone",2,232.83,"103 Main St","Gift Card","Delivered","TRK85696091",7,"No Coupon","Instagram",465.66
"ORD200100","2023-02-17","C74866","Phone",3,664.79,"743 Main St","Online","Delivered","TRK53783265",6,"No Coupon","Facebook",1994.37
"ORD200104","2024-07-30","C65744","Phone",1,582.04,"647 Main St","Gift Card","Delivered","TRK39906058",1,"FREESHIP","Email",582.04
"ORD200108","2024-12-28","C33099","Laptop",5,48.38,"522 Main St","Gift Card","Delivered","TRK28522330",9,"WINTER15","Email",241.90
"ORD200123","2023-07-06","C86064","Desk",3,278.04,"727 Main St","Online","Delivered","TRK62182901",5,"No Coupon","Instagram",834.12
"ORD200128","2023-02-17","C86408","Tablet",4,21.07,"244 Main St","Gift Card","Delivered","TRK41432648",4,"FREESHIP","Google",84.28
"ORD200137","2024-11-26","C50682","Monitor",2,250.98,"598 Main St","Credit Card","Delivered","TRK12242337",5,"No Coupon","Google",501.96
"ORD200140","2025-05-31","C33110","Chair",3,528.14,"388 Main St","Online","Delivered","TRK38624225",3,"FREESHIP","Email",1584.42
"ORD200145","2024-03-02","C85929","Printer",3,146.91,"798 Main St","Credit Card","Delivered","TRK29318610",6,"FREESHIP","Google",440.73
"ORD200149","2023-12-27","C39671","Laptop",1,217.56,"174 Main St","Debit Card","Delivered","TRK47153818",3,"No Coupon","Facebook",217.56
"ORD200156","2024-11-08","C58808","Chair",2,269.83,"651 Main St","Online","Delivered","TRK24451893",4,"SAVE10","Email",539.66
"ORD200166","2025-03-04","C28889","Chair",3,86.29,"565 Main St","Cash","Delivered","TRK23791726",6,"WINTER15","Instagram",258.87
"ORD200169","2024-04-07","C35785","Printer",1,427.82,"732 Main St","Online","Delivered","TRK78923089",2,"WINTER15","Email",427.82
"ORD200171","2023-08-15","C20448","Tablet",2,148.22,"336 Main St","Credit Card","Delivered","TRK67379895",7,"WINTER15","Instagram",296.44
"ORD200172","2025-04-06","C34134","Printer",1,254.12,"365 Main St","Online","Delivered","TRK43074303",1,"WINTER15","Email",254.12
"ORD200173","2024-03-24","C95901","Phone",3,664.46,"806 Main St","Online","Delivered","TRK56989066",4,"FREESHIP","Google",1993.38
"ORD200174","2024-04-16","C51145","Printer",4,600.81,"790 Main St","Debit Card","Delivered","TRK59154274",9,"SAVE10","Email",2403.24
"ORD200178","2024-04-11","C53070","Chair",4,512.06,"283 Main St","Online","Delivered","TRK49791755",5,"SAVE10","Google",2048.24
"ORD200179","2024-11-24","C27401","Laptop",3,539.91,"500 Main St","Credit Card","Delivered","TRK14332053",8,"No Coupon","Email",1619.73
"ORD200183","2024-04-18","C39246","Monitor",5,186.28,"258 Main St","Debit Card","Delivered","TRK16658182",8,"SAVE10","Email",931.40
"ORD200196","2025-01-24","C40882","Desk",4,217.13,"719 Main St","Cash","Delivered","TRK64165503",8,"WINTER15","Email",868.52
"ORD200200","2025-06-07","C97681","Tablet",5,433.26,"895 Main St","Credit Card","Delivered","TRK37531040",9,"SAVE10","Google",2166.30
"ORD200207","2025-03-18","C54595","Phone",1,121.96,"999 Main St","Debit Card","Delivered","TRK44416659",3,"No Coupon","Google",121.96
"ORD200210","2024-12-05","C93821","Chair",3,358.48,"513 Main St","Gift Card","Delivered","TRK10658539",7,"FREESHIP","Facebook",1075.44
"ORD200214","2024-08-21","C29483","Desk",4,305.72,"673 Main St","Online","Delivered","TRK89423603",5,"No Coupon","Facebook",1222.88
"ORD200219","2025-05-02","C48946","Laptop",5,61.97,"457 Main St","Cash","Delivered","TRK99387220",6,"SAVE10","Email",309.85
"ORD200226","2025-06-27","C31501","Desk",3,588.05,"242 Main St","Gift Card","Delivered","TRK93063929",8,"No Coupon","Instagram",1764.15
"ORD200229","2025-03-28","C62622","Tablet",1,562.61,"762 Main St","Credit Card","Delivered","TRK70997648",3,"WINTER15","Facebook",562.61
"ORD200230","2023-12-16","C94595","Desk",4,61.91,"948 Main St","Gift Card","Delivered","TRK24497305",6,"WINTER15","Email",247.64
"ORD200254","2023-12-26","C10866","Monitor",3,263.19,"770 Main St","Online","Delivered","TRK34809583",5,"No Coupon","Instagram",789.57
"ORD200259","2023-06-11","C20977","Chair",4,435.12,"636 Main St","Credit Card","Delivered","TRK54991561",9,"SAVE10","Instagram",1740.48
"ORD200261","2025-05-28","C68976","Phone",5,173.65,"460 Main St","Gift Card","Delivered","TRK25491356",9,"SAVE10","Email",868.25
"ORD200267","2025-04-17","C84480","Chair",5,468.51,"803 Main St","Debit Card","Delivered","TRK62361867",9,"No Coupon","Facebook",2342.55
"ORD200268","2023-08-11","C37032","Phone",2,423.88,"655 Main St","Debit Card","Delivered","TRK48639226",7,"SAVE10","Referral",847.76
"ORD200277","2024-09-09","C11210","Chair",5,90.92,"910 Main St","Credit Card","Delivered","TRK44929965",9,"SAVE10","Facebook",454.60
"ORD200278","2024-11-18","C46015","Laptop",5,362.46,"299 Main St","Cash","Delivered","TRK46598430",6,"FREESHIP","Instagram",1812.30
